INFO 2025-10-08 13:29:40,955 autoreload 20157 8445626368 Watching for file changes with StatReloader
INFO 2025-10-08 13:31:49,379 autoreload 20343 8445626368 Watching for file changes with StatReloader
INFO 2025-10-08 13:31:54,345 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,354 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,359 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,365 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,369 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,372 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,375 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,377 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,382 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,385 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,387 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,389 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,391 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,393 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,395 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,398 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,401 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,404 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,406 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,408 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:31:54,410 basehttp 20343 6121975808 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 13:32:24,508 autoreload 20561 8445626368 Watching for file changes with StatReloader
INFO 2025-10-08 14:49:18,565 autoreload 22285 8445626368 Watching for file changes with StatReloader
INFO 2025-10-08 14:53:48,495 autoreload 22463 8445626368 Watching for file changes with StatReloader
INFO 2025-10-08 14:53:50,828 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,836 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,838 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,840 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,843 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,846 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,850 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,853 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,856 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
INFO 2025-10-08 14:53:50,859 basehttp 22463 6155415552 "GET / HTTP/1.1" 302 0
